"id (int32)	trade_engine_id (int32)	trade_engine_name (string:45)	trade_engine_title (string:765)	market_id (int32)	market_name (string:45)	name (string:192)	title (string:765)	is_default (int32)	board_group_id (int32)	is_traded (int32)	is_order_driven (int32)	category (string:45)"
"275	1	stock	Фондовый рынок и рынок депозитов	54	credit	stock_credit_rub	Кредиты RUB - адрес.	1	275	1	0	main"
"277	1	stock	Фондовый рынок и рынок депозитов	54	credit	stock_credit_usd	Кредиты USD - адрес.	0	277	1	0	main"
"279	1	stock	Фондовый рынок и рынок депозитов	54	credit	stock_credit_eur	Кредиты EUR - адрес.	0	279	1	0	main"
"1056	1	stock	Фондовый рынок и рынок депозитов	1015	nonresndm	stock_nonresndm_shares_tplus_rub	РПС с ЦК Нерезиденты: Акции и ДР - адрес.	1	1056	1	0	nonres"
"1058	1	stock	Фондовый рынок и рынок депозитов	1015	nonresndm	stock_nonresndm_shares_tplus_usd	РПС с ЦК Нерезиденты: Акции и ДР (USD) - адрес.	0	1058	1	0	nonres"
"1060	1	stock	Фондовый рынок и рынок депозитов	1015	nonresndm	stock_nonresndm_shares_tplus_eur	РПС с ЦК Нерезиденты: Акции и ДР (EUR) - адрес.	0	1060	1	0	nonres"
"1062	1	stock	Фондовый рынок и рынок депозитов	1015	nonresndm	stock_nonresndm_bonds_tplus_rub	РПС с ЦК Нерезиденты: Облигации - адрес.	0	1062	1	0	nonres"
"1064	1	stock	Фондовый рынок и рынок депозитов	1015	nonresndm	stock_nonresndm_bonds_tplus_cny	РПС с ЦК Нерезиденты: Облигации (CNY) - адрес.	0	1064	1	0	nonres"
"1066	1	stock	Фондовый рынок и рынок депозитов	1015	nonresndm	stock_nonresndm_bonds_tplus_usd	РПС с ЦК Нерезиденты: Облигации (USD) - адрес.	0	1066	1	0	nonres"
"1068	1	stock	Фондовый рынок и рынок депозитов	1015	nonresndm	stock_nonresndm_bonds_tplus_eur	РПС с ЦК Нерезиденты: Облигации (EUR) - адрес.	0	1068	1	0	nonres"
"1071	1	stock	Фондовый рынок и рынок депозитов	1017	nonresrepo	stock_nonresrepo_interdealer_rub	РЕПО-M Нерезиденты - адрес.	1	1071	1	0	nonres"
"1073	1	stock	Фондовый рынок и рынок депозитов	1017	nonresrepo	stock_nonresrepo_interdealer_usd	РЕПО-M Нерезиденты (USD) - адрес.	0	1073	1	0	nonres"
"1075	1	stock	Фондовый рынок и рынок депозитов	1017	nonresrepo	stock_nonresrepo_interdealer_eur	РЕПО-M Нерезиденты (EUR) - адрес.	0	1075	1	0	nonres"
"1077	1	stock	Фондовый рынок и рынок депозитов	1017	nonresrepo	stock_nonresrepo_interdealer_cny	РЕПО-M Нерезиденты (CNY) - адрес.	0	1077	1	0	nonres"
"1080	1	stock	Фондовый рынок и рынок депозитов	1019	nonresccp	stock_nonresccp_liq	Урегулирование РЕПО с ЦК Нерезиденты - безадрес.	1	1080	1	1	nonres"
"36	1	stock	Фондовый рынок и рынок депозитов	23	standard	stock_standard	Standard - безадрес.	1	36	0	1	main"
"41	1	stock	Фондовый рынок и рынок депозитов	23	standard	standard_ndm	Standard - адрес.	0	41	0	0	main"
"40	1	stock	Фондовый рынок и рынок депозитов	23	standard	stock_standard_repo	Standard: РЕПО - адрес.	0	40	0	0	main"
"43	1	stock	Фондовый рынок и рынок депозитов	25	classica	stock_classica	Classica - безадрес.	1	43	0	1	main"
"44	1	stock	Фондовый рынок и рынок депозитов	25	classica	stock_classica_ndm	Classica - адрес.	0	44	0	0	main"
"12	2	state	Рынок ГЦБ (размещение)	9	index	state_index	Индексы ГКО/ОФЗ	1	12	0	null	main"
"10	2	state	Рынок ГЦБ (размещение)	6	bonds	state	Основной режим	1	10	0	null	main"
"3	2	state	Рынок ГЦБ (размещение)	7	repo	dealer_dealer	Сделки междилерского РЕПО	1	3	0	null	main"
"11	2	state	Рынок ГЦБ (размещение)	8	ndm	state_ndm	Внесистемные сделки	1	11	0	null	main"
"13	3	currency	Валютный рынок	10	selt	currency	Системные сделки - безадрес.	1	13	1	1	main"
"46	3	currency	Валютный рынок	10	selt	currency_ndm	Внесистемные сделки - адрес.	0	46	1	0	main"
"151	3	currency	Валютный рынок	10	selt	currency_selt_licu	Внесистемные сделки урегулирования - безадрес.	0	151	1	1	main"
"100	3	currency	Валютный рынок	10	selt	currency_fixing	Фиксинг системный - безадрес.	0	100	1	1	main"
"101	3	currency	Валютный рынок	10	selt	currency_fixing_ndm	Фиксинг внесистемный - адрес.	0	101	1	0	main"
